================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
    7.663738251440362e-08     1.696435183537207e+03
    6.967034774036855e-08     1.676344158358143e+03
    6.333667976397278e-08     1.656491072885043e+03
    5.757879978543091e-08     1.636873109178137e+03
    5.234436344130177e-08     1.617487482670729e+03
    4.758578494663872e-08     1.598331441773948e+03
    4.325980449694492e-08     1.579402267486214e+03
    3.932709499722318e-08     1.560697273007279e+03
    3.575190454293060e-08     1.542213803356888e+03
    3.250173140266453e-08     1.523949234997923e+03
    2.954702854787714e-08     1.505900975464023e+03
    2.686093504352491e-08     1.488066462991610e+03
    2.441903185775012e-08     1.470443166156280e+03
    2.219911987068210e-08     1.453028583513493e+03
    2.018101806425659e-08     1.435820243243514e+03
    1.834638005841520e-08     1.418815702800573e+03
    1.667852732583209e-08     1.402012548566165e+03
    1.516229756893834e-08     1.385408395506469e+03
    1.378390688085310e-08     1.369000886833815e+03
    1.253082443713923e-08     1.352787693672161e+03
    1.139165857921753e-08     1.336766514726539e+03
    1.035605325383415e-08     1.320935075956399e+03
    9.414593867121986e-09     1.305291130252858e+03
